model_key,model_name,family,scope,group,n,n_pos,n_neg,label_rate,auroc,var_auroc,ci_low,ci_high,ci_width,method,alpha,note
multi_layer_probe_L_spread_6_P_ans_last_oof,multi_layer_probe_L_spread_6_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7688044694058578,3.566007971226606e-05,0.7568938178670492,0.7803009574113362,0.02340713954428697,logit,0.05,
multi_layer_probe_L_late_3_P_ans_last_oof,multi_layer_probe_L_late_3_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7686165777011806,3.507780536398965e-05,0.7568055032443883,0.7800207644702606,0.023215261225872252,logit,0.05,
multi_layer_probe_L_spread_3_P_ans_last_oof,multi_layer_probe_L_spread_3_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7667741188019076,3.5414354691506726e-05,0.7549081242449078,0.7782343913272429,0.023326267082335095,logit,0.05,
multi_layer_probe_L_late_3_P_answer_oof,multi_layer_probe_L_late_3_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7667726666993044,3.597095442695617e-05,0.7548122006246945,0.7783210407564497,0.02350884013175525,logit,0.05,
multi_layer_probe_L_pair_adjacent_P_ans_last_oof,multi_layer_probe_L_pair_adjacent_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7667371939071433,3.5785844326796904e-05,0.754808118032503,0.7782563954472889,0.023448277414785834,logit,0.05,
multi_layer_probe_L_single_best_P_answer_oof,multi_layer_probe_L_single_best_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7665563552722527,3.5524475349729245e-05,0.7546719159777252,0.7780344075827603,0.02336249160503512,logit,0.05,
multi_layer_probe_L_spread_6_P_ans_last_think_oof,multi_layer_probe_L_spread_6_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7662007457169197,3.5994908366516704e-05,0.7542370351969513,0.7777536741009999,0.023516638904048648,logit,0.05,
multi_layer_probe_L_all_P_answer_oof,multi_layer_probe_L_all_P_answer_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7660834884317209,3.638333755741065e-05,0.7540544626715922,0.7776976285023922,0.02364316583080006,logit,0.05,
multi_layer_probe_L_single_best_P_ans_last_oof,multi_layer_probe_L_single_best_P_ans_last_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7644494581167972,3.609836001260302e-05,0.7524707257600076,0.776021050466851,0.023550324706843373,logit,0.05,
multi_layer_probe_L_single_best_P_ans_last_think_oof,multi_layer_probe_L_single_best_P_ans_last_think_oof,multi_layer,pooled_8_mlp,OVERALL,6378,3916,2462,0.6139855754154907,0.7643941226354584,3.58209394156811e-05,0.7524623593366248,0.7759220237363904,0.023459664399765656,logit,0.05,
