variant,clf,group,auroc,auprc,ece,accuracy,accuracy_at_80,accuracy_at_90,prr,n_samples
baselineC+rec,xgb,math500_llama8b,0.6115304709141274,0.6976292758503839,0.1010837854161436,0.5951417004048583,0.6531645569620254,0.6373873873873874,,494
baselineC+rec,xgb,math500_qwen7b,0.574812316833273,0.7727478338514935,0.11480139478115378,0.685370741482966,0.7493734335839599,0.7394209354120267,,499
C+rec+ngram,lr,arc_challenge_llama8b,0.572194465357151,0.7044074146635725,0.11852467064764911,0.5967465753424658,0.6766595289079229,0.6660323501427212,,1168
C+rec+ngram,lr,arc_challenge_qwen7b,0.6492691622103387,0.7950401287187403,0.11490845506719805,0.6935622317596567,0.759656652360515,0.7385496183206107,,1165
C+rec+ngram,lr,gpqa_diamond_llama8b,0.6481866481866482,0.5193073214458509,0.1509267000487492,0.6243386243386243,0.46357615894039733,0.4294117647058823,,189
C+rec+ngram,lr,gpqa_diamond_qwen7b,0.6942738043001315,0.6146646503715144,0.12943390414790673,0.6614583333333334,0.5163398692810458,0.47093023255813954,,192
C+rec+ngram,lr,gsm8k_llama8b,0.5703006595321631,0.5223998518761519,0.03734548951953177,0.558756633813495,0.4834123222748815,0.4625105307497894,,1319
C+rec+ngram,lr,gsm8k_qwen7b,0.6729976955089892,0.8082675452006645,0.19397287561389095,0.5508345978755691,0.7191650853889943,0.6930860033726813,,1318
C+rec+ngram,lr,math500_llama8b,0.5913781163434904,0.6801221963180677,0.12440767764942011,0.5708502024291497,0.640506329113924,0.6418918918918919,,494
C+rec+ngram,lr,math500_qwen7b,0.6004456220643141,0.7854495398442722,0.12595508956930832,0.6793587174348698,0.7619047619047619,0.7527839643652561,,499
C+rec+ngram,rf,arc_challenge_llama8b,0.5845660966460364,0.7199615715189878,0.05245764528031221,0.6309931506849316,0.6820128479657388,0.6679352997145576,,1168
C+rec+ngram,rf,arc_challenge_qwen7b,0.6379928698752229,0.7922938407758306,0.06827894362257275,0.7004291845493562,0.7489270386266095,0.7309160305343512,,1165
C+rec+ngram,rf,gpqa_diamond_llama8b,0.6586971586971586,0.583320652178349,0.08497242341754298,0.6507936507936508,0.44370860927152317,0.4235294117647059,,189
C+rec+ngram,rf,gpqa_diamond_qwen7b,0.7438569548047388,0.6628310261956566,0.08092640429579964,0.6822916666666666,0.5228758169934641,0.48255813953488375,,192
C+rec+ngram,rf,gsm8k_llama8b,0.5774591094693616,0.5294979721149886,0.052184412590566234,0.5466262319939348,0.4786729857819905,0.472620050547599,,1319
C+rec+ngram,rf,gsm8k_qwen7b,0.6794403304237281,0.8149251158514698,0.17510438727409958,0.5591805766312595,0.7239089184060721,0.7048903878583473,,1318
C+rec+ngram,rf,math500_llama8b,0.5914646814404432,0.6744357502656126,0.09548443954000586,0.5748987854251012,0.6430379746835443,0.6396396396396397,,494
